Name,Brand,Gender,Notes
No 5,Chanel,Women,Ylang-Ylang / Neroli / Aldehydes/ Jasmine / Mayrose/ Sandalwood / Vetiver
No 22,Chanel,Women,Aldehydes/ Jasmine / Tuberose / Ylang-Ylang / Rose/ Vetiver / Vanilla / Incense
No 19,Chanel,Women,Galbanum / Bergamot / Neroli / Hyacinth/ Rose / Orris / Jasmine / Narcissus / Muguet / Ylang-Ylang/ Musk / Sandal / Oakmoss / Leather / Cedarwood
Cristalle Eau de Toilette,Chanel,Women,Sicilian Lemon / Bergamot/ Rosewood / Hyacinth/ Oakmoss / Vetiver
Coco,Chanel,Women,Angelica / Mimosa / Frangipani / Mandarin/ Cascarilla / Orange Flower / Bulgarian Rose / Jasmine/ Labdanum / Ambrette Seed / Opopanax / Benzoin / Tonka / Vanilla
Coco Mademoiselle,Chanel,Women,Orange / Bergamot / Grapefruit/ Litchi / Rose / Italian Jasmine/ Indonesian Patchouli / Haitian Vetiver / Bourbon Vanilla / White Musk
Cristalle Eau de Parfum,Chanel,Women,Mandarin / Peach / Lily of the Valley / Sicilian Lemon / Bergamot/ Jasmine / Iris / Rosewood / Hyacinth/ Vetiver / Oakmoss
Allure Homme,Chanel,Men,Bergamot / Mandarin / Citron Zest/ Jamaican Pepper/ Vetiver / Patchouli / Sandalwood / Cedarwood / Tonka Bean / Labdanum
Antaeus,Chanel,Men,Clary Sage / Myrtle/ Patchouli / Sandalwood/ Labdanum / Beeswax Absolute
Chanel Pour Monsieur,Chanel,Men,Neroli / Lemon / Petitgrain/ Cardamom/ Cedarwood / Oakmoss / Vetiver
Chanel Pour Monsieur ConcentrEe,Chanel,Men,Mandarine / Lavender / Petitgrain/ Cardamom / Nutmeg/ Oakmoss / Vetiver / Opoponax / Vanilla
Allure Homme Sport,Chanel,Men,Aldehydes / Mandarin / Orange / Aquatic Note/ Black Pepper / Neroli / Cedar/ Tonka / Vetiver / Amber / White Musk
Allure Sensuelle,Chanel,Women,"Bergamot / Mandarin Orange / Pink Pepper/ Jasmine / Rose / Iris / Candied Fruit / Vetiver/ French Vanilla / Amber / Patchouli / Frankincense / ""Sensual Note"""
Chance Eau Fraiche,Chanel,Women,Citron / Water Hyacinth/ Jasmine Absolute / White Musk/ Vetiver / Amber / Patchouli / Teak
No 46,Chanel,Women,Bergamot / Orange / Neroli/ Rose / Lily of the valley-ylang-jasmin/ Vetiver / Orris / Sandalwood / Coumarin / Vanilla infusion / Musk
Chance Eau Tendre,Chanel,Women,Grapefruit / Quince/ Hyacinth / Jasmine/ Amber / Cedar / Iris / White musk
No 19 PoudrE,Chanel,Women,Mandarin / Neroli/ Iris / Jasmine / Galbanum / Vetiver / Hyacinth/ Musk / Tonka bean
Coco Mademoiselle L'Extrait,Chanel,Women,Sicilian orange / Calabrian bergamot/ May rose / Jasmine / Florentine iris/ Patchouli / Vetiver / Bourbon vanilla / White musk
Coco Noir,Chanel,Women,Grapefruit / Bergamot/ Rose / Jasmine / Indonesian patchouli/ Sandalwood / Brazilian Tonka bean / White musk
1932,Chanel,Women,Aldehydes / Bergamot / Neroli/ Jasmine / Rose / Lilac / Carnation / Ylang-ylang/ Vetiver / Sandalwood / Opoponax / Orris root / Coumarin / Ambrette / Musk / Incense / Vanilla / Iralia
Miss Dior,Christian Dior,Women,Galbanum/ Jasmine/ Patchouli
Diorissimo,Christian Dior,Women,Muguet / Ylang-Ylang/ Amaryllis / Boronia/ Jasmine
Dioressence,Christian Dior,Women,Violet / Rosebud/ Geranium/ Cinnamon / Patchouli
Diorella,Christian Dior,Women,Sicilian Lemon / Peach / Asil / Italian Bergamot / Melon / Green Notes/ Honeysuckle / Jasmine / Violet / Rose Bud / Carnation / Cyclamen / Oakmoss/ Vanilla / Clove / Sandalwood / Vetiver / Musk / Patchouli
Dolce Vita,Christian Dior,Women,Rose / Magnolia / Muguet/ Apricot / Peach / Cinnamon/ Sandalwood / Vanilla / Heliotrope
Eau de Dolce Vita,Christian Dior,Women,Citrus notes / Pear blossom/ Jasmine petals / Peony / Freesia / White Pepper/ Sandalwood / Soft vanilla
Hypnotic Poison,Christian Dior,Women,Caraway / Bitter Almond/ Jasmine Sambac / Moss/ Jacarander Wood / Vanilla / Musk
Dune pour Homme,Christian Dior,Men,Fig Leaves / Basil Leaves / Blackcurrant Leaves / Mandarin/ New Hedione / Moss / Sage/ Fig tree wood / Sandalwood / Cedarwood / Tonka Bean
Eau Sauvage,Christian Dior,Men,Lemon / Rosemary/ Petitgrain / Basil/ Vetiver
Eau Sauvage Extreme,Christian Dior,Men,Lavender / Rosemary/ Genista/ Cedarwood / Cistus
Fahrenheit,Christian Dior,Men,Hawthorn / Honeysuckle/ Sandalwood/ Lenstiscus / Styrax (Benzoin)
Higher,Christian Dior,Men,Citrus notes / Basil / Pear/ Spicy notes / Cypress / Rosemary flower/ Pear tree wood / Musk
Jules,Christian Dior,Men,Galbanum/ Black Pepper/ Cedarwood / Sandalwood / Russian Leather
Fahrenheit 0 DegrEs,Christian Dior,Men,Citrus/ Violet / Freesia / Sandal/ Patchouli / Cedar
